Name	SMILES	ClusterNumber
58267857	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCC1CCN(C)CC1	1
56678889	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1O	1
58267811	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC1CCN(C)C1	1
44243434	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1O[C@H]1CCN(CC(F)F)C1	1
58267765	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC[C@@H](O)CN1CCN(C)CC1	1
58267976	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC[C@H](O)CN1CCN(C)CC1	1
56953869	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(-c5ccccc5)on4)c3)c2cc1OC	1
58267965	COc1cc(NC(=O)Nc2cccc(Sc3ncnc4cc(OC)c(OC)cc34)c2)cc(C(F)(F)F)c1	1
58267770	COc1cc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc(C(F)(F)F)c1	1
58267905	COCCOc1cc(NC(=O)Nc2cccc(Oc3ncnc4cc(OCCOC)c(OC)cc34)c2)cc(C(F)(F)F)c1	1
56682425	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c3)c2cc1OC	1
58267967	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c3)c2cc1OC	1
58267863	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c3)c2cc1OC	1
44243436	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCOCC5)no4)c3)c2cc1OC	1
121479945	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C#N)on4)c3)c2cc1OC	1
58267780	COCCOc1cc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc(C(F)(F)F)c1	1
56953872	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)CO)on4)c3)c2cc1OC	1
121479946	COc1cc2cccc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)no4)c3)c2cc1OC	1
58267984	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(OC)c(C(F)(F)F)c4)c3)c2cc1OC	1
58267814	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(Cl)cc(C(F)(F)F)c4)c3)c2cc1OC	1
58267961	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)c3)c2cc1OC	1
58267900	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4nccc(C(F)(F)F)n4)c3)c2cc1OC	1
58267762	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cccc(C(C)C)c4)c3)c2cc1OC	1
58267975	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ncn4)c3)c2cc1OC	1
58267735	COCCOc1cc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)ccc1C(F)(F)F	1
44243476	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(F)(F)F)c(F)c4)c3)c2cc1OC	1
58267851	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(CN5CCOCC5)cc(C(F)(F)F)c4)c3)c2cc1OC	1
56953992	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(F)F)no4)c3)c2cc1OC	1
58267778	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C)c3)c2cc1OC	1
56953629	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C)c3)c2cc1OC	1
56953993	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)no4)c3)c2cc1OC	1
58267739	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)no4)c3)c2cc1OC	1
56954119	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)on4)c3)c2cc1OC	1
56953870	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCCC5)no4)c3)c2cc1OC	1
56672436	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(C)(C)C)cc4)c3)c2cc1OC	1
58267772	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4ccc(C(C)(C)C)cc4)c3)c2cc1OC	1
56665517	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)c2cc1OC	1
58267953	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(OC(F)(F)F)cc4)c3)c2cc1OC	1
56682426	COc1cccc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)c1	1
58267729	CCOc1cccc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)c1	1
58267760	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c2cc1OC	1
58267859	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c2cc1OC	1
58267788	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c3)c2cc1OC	1
56954123	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)c2cc1OC	1
58267946	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4ccc(C(F)(F)F)c(F)c4)c3)c2cc1OC	1
44242890	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)on4)c3)c2cc1OC	1
58267974	COCCOc1cc(NC(=O)Nc2cccc(Sc3ncnc4cc(OC)c(OC)cc34)c2)cc(C(F)(F)F)c1	1
58267840	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C5CCCC5)on4)c3)c2cc1OC	1
58267983	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)no4)c3)c2cc1OC	1
44242927	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCCC5)no4)c3)c2cc1OC	1
58267781	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(F)F)no4)c3)c2cc1OC	1
58267795	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)on4)c3)c2cc1OC	1
58267866	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)no4)c3)c2cc1OC	1
121479953	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)COC)no4)c3)c2cc1OC	1
58267744	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)c2cc1OC	1
58267872	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(F)(F)F)c(F)c4)c3)c2cc1OC	1
44242930	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(C(F)(F)F)c(OC)c4)c3)c2cc1OC	1
58267808	COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)no4)c3)c2cc1OC	1
58267812	COCCOc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(CF)CF)on4)c3)c2cc1OC	1
58267941	COCCOc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)c2cc1OC	1
